filename	utterance	'point_index	f0_value
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		13	300.7253456941642
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		14	278.5616985594841
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		15	257.76728181034326
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		16	237.9362631987884
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		17	218.32287279287857
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		18	207.580633805595
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		19	201.07569764737752
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		20	--undefined--
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		1	--undefined--
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		2	265.64669379738467
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		3	278.1359729032934
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		4	239.98801604952544
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		5	228.52588111979122
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		6	240.39939635857402
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		7	218.88974348782526
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		8	235.36525212892033
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		9	--undefined--
ExpBase_Sp10_S4_Alt_F_U2.TextGrid	tum lari  becho gi ya gari		10	265.07480293070995
